"country","casualties"
"Iraq",79472
"Afghanistan",48735
"Nigeria",24815
"Pakistan",21123
"Syria",16255
"Somalia",11052
"India",9740
"Yemen",9516
"Democratic Republic of the Congo",4940
"Philippines",4564
"Sudan",3383
"United States",3367
"Egypt",3221
"Algeria",3143
"Russia",3116
"Libya",2816
"South Sudan",2731
"Colombia",2598
"Cameroon",2579
"Turkey",2496
"Thailand",2428
"Sri Lanka",2364
"Ukraine",2268
"Central African Republic",2205
"Mali",1823
"Nepal",1815
"Kenya",1472
"Niger",1220
"Uganda",1030
"West Bank and Gaza Strip",989
"Israel",952
"Chad",940
"Angola",918
"Burundi",861
"China",839
"Ethiopia",749
"Indonesia",748
"Lebanon",736
"Saudi Arabia",586
"Myanmar",567
"Iran",560
"Bangladesh",501
"Tunisia",313
"Mozambique",300
"France",290
"Burkina Faso",248
"Spain",245
"Ivory Coast",215
"Mexico",196
"Peru",140
"United Kingdom",137
"Senegal",125
"Jordan",119
"South Africa",89
"Norway",78
"Morocco",77
"Rwanda",75
"Tanzania",68
"Tajikistan",65
"Republic of the Congo",61
"Venezuela",60
"Paraguay",51
"Uzbekistan",49
"Georgia",48
"Belgium",47
"Macedonia",45
"Honduras",41
"Eritrea",40
"Germany",40
"Mauritania",39
"Kosovo",38
"Kuwait",38
"Guyana",33
"Bahrain",29
"Canada",27
"Kazakhstan",26
"Haiti",22
"Brazil",21
"Zimbabwe",20
"Japan",19
"Malaysia",19
"Liberia",18
"Guinea-Bissau",17
"Guatemala",16
"Laos",14
"Nicaragua",14
"Switzerland",14
"Azerbaijan",13
"Belarus",13
"Greece",13
"Australia",12
"Bolivia",12
"Ecuador",11
"Finland",11
"Cambodia",10
"Netherlands",10
"Sweden",10
"Bhutan",9
"Bulgaria",9
"Armenia",8
"Bosnia-Herzegovina",8
"East Timor",8
"Kyrgyzstan",8
"Yugoslavia",8
"Italy",6
"Madagascar",6
"Chile",5
"Djibouti",5
"Austria",4
"Ireland",4
"Denmark",3
"Guinea",3
"Hungary",3
"Qatar",3
"Serbia",3
"Serbia-Montenegro",3
"Turkmenistan",3
"Czech Republic",2
"Dominican Republic",2
"Estonia",2
"Ghana",2
"Moldova",2
"Montenegro",2
"Slovak Republic",2
"Solomon Islands",2
"Taiwan",2
"Albania",1
"Costa Rica",1
"Cuba",1
"Equatorial Guinea",1
"International",1
"Lesotho",1
"Malawi",1
"Maldives",1
"Malta",1
"Namibia",1
"Panama",1
"Poland",1
"Sierra Leone",1
"United Arab Emirates",1
"Uruguay",1
"Argentina",0
"Bahamas",0
"Belize",0
"Benin",0
"Comoros",0
"Croatia",0
"Cyprus",0
"Fiji",0
"Gabon",0
"Hong Kong",0
"Iceland",0
"Jamaica",0
"Latvia",0
"Lithuania",0
"New Caledonia",0
"New Zealand",0
"Papua New Guinea",0
"Portugal",0
"Romania",0
"South Korea",0
"Swaziland",0
"Togo",0
"Trinidad and Tobago",0
"Vietnam",0
"Western Sahara",0
"Zambia",0
